"","x"
"",5198
"Proc. Zool. Soc. Lond.",663
"Ann. Mag. Nat. Hist., ser. 7",335
"Syst. Nat., 10th ed.",289
"Ann. Mag. Nat. Hist., ser. 8",287
"Proc. Biol. Soc. Wash.",257
"Ann. Mag. Nat. Hist., ser. 6",194
"Bull. Am. Mus. Nat. Hist.",171
"Ann. Mag. Nat. Hist., ser. 9",169
"Monatsb. K. Preuss. Akad. Wiss. Berlin",165
"Am. Mus. Novit.",141
"J. Asiat. Soc. Bengal",106
"N. Am. Fauna",77
"J. Mammal.",73
"Ann. Mag. Nat. Hist., [ser. 1]",68
"Die S<e4>ugethiere",66
"Smithson. Misc. Coll.",63
"Mammalia",61
"Proc. Acad. Nat. Sci. Philadelphia",60
"Monogr. Mamm.",56
"Proc. U.S. Natl. Mus.",54
"Trans. Linn. Soc. Lond.",54
"London Med. Repos.",53
"Arch. Naturgesch.",50
"J. Bombay Nat. Hist. Soc.",50
"Syst. Nat., 12th ed.",48
"Abstr. Proc. Zool. Soc. Lond.",47
"Ann. Mus. Civ. Stor. Nat. Genova",44
"Field Mus. Nat. Hist. Publ., Zool. Ser.",41
"Ann. Mus. Natn. Hist. Nat. Paris",38
"C. R. Acad. Sci. Paris",33
"Notes Leyden Mus.",33
"Bonn. Zool. Beitr.",31
"Sitzb. Ges. Naturf. Fr. Berlin",31
"Z. S<e4>ugetierk.",31
"Misc. Zool.",30
"Proc. Acad. Nat. Sci. Phil.",30
"Bull. Sci. Soc. Philom. Paris",29
"J. Acad. Nat. Sci. Philadelphia",29
"Spicil. Zool.",29
"Ann. Mus. Hist. Nat. Paris",28
"Geogr. Gesch. Mensch. Vierf. Thiere",28
"<i>In</i> Linnaeus, Anim. Kingdom",26
"Ann. Mag. Nat. Hist., ser. 4",25
"Ann. Mag. Nat. Hist., ser. 5",25
"Ann. Transvaal Mus.",25
"Mag. Nat. Hist. [Charlesworth's]",25
"Proc. Wash. Acad. Sci.",25
"Rec. West. Aust. Mus.",25
"Syst. Regni Anim.",25
"Mag. Zool. Bot.",24
"Rev. Mag. Zool. Paris, ser. 2",24
"S. Afr. Quart. J.",24
"Sim. Vespert. Brasil.",24
"Nouv. Dict. Hist. Nat., Nouv. ed.",23
"Rec. Aust. Mus.",23
"Tijdschr. Nat. Gesch. Physiol.",23
"Zool. Anz.",23
"Zool. J.",23
"Zool. Res. Java",23
"Ann. Mag. Nat. Hist., ser. 3",22
"Ann. Philos., n.s.",22
"Rec. Observ. Zool.",22
"Bull. Amer. Mus. Nat. Hist.",21
"Fieldiana Zool.",21
"Mammalia <i>in</i> Repts. U.S. Expl. Surv.",21
"Novit. Zool.",21
"Sagg. Stor. Nat. Chile",21
"Amer. Mus. Novit.",19
"Bull. Mus. Comp. Zool.",19
"Reise Prov. Russ. Reichs.",19
"Cat. Monkeys, Lemurs, Fruit-eating Bats Brit. Mus.",18
"Descrip. de L'Egypte",17
"Proc. Linn. Soc. N.S.W.",17
"Nat. Misc.",16
"Nova Spec. Quad. Glir. Ord.",16
"Treubia",16
"Am. Nat.",15
"Bericht Verhandl. K. Preuss. Akad. Wiss. Berlin",15
"Cat. Chiroptera Brit. Mus.",15
"Mammalia, <i>in</i> Repts. U.S. Expl. Surv.",15
"N. Amer. Fauna",15
"Proc. Asiat. Soc. Bengal",15
"Ann. Mag. Nat. Hist., ser. 10",14
"Aust. J. Zool.",14
"Proc. U. S. Natl. Mus.",14
"Prodr. Syst. Mamm. Avium.",14
"Zool. Voy. H.M.S. ""Erebus"" and ""Terror""",13
"<i>In</i> Linnaeus, Syst. Nat., 13th ed.",12
"Am. Mon. Mag.",12
"Bull. Brit. Mus. (Nat. Hist.) Zool.",12
"Elench. Anim.",12
"J. Sci. Math. Phys. Nat. Lisboa, ser. 2",12
"Le Naturaliste",12
"Mamm. Aust.",12
"Nouv. Arch. Mus. Hist. Nat. Paris, Bull.",12
"Rech. Hist. Nat. Mammif<e8>res",12
"Syst. Regn. Anim.",12
"Zoognosia",12
"(Other)",3188
