"","CitationName","n"
"1","Int. J. Primatol.",6
"2","Folia Primatol.",5
"3","Goeldiana Zoologia",5
"4","Neotropical Primates",4
"5","<i>In</i>Tattersall and Sussman (eds.), Lemur Biology",3
"6","Am. J. Phys. Anthropol.",2
"7","Am. J. Primatol.",2
"8","<i>In</i> Kingdon, Kingdon Field Guide to African Mammals",1
"9","<i>In</i>Else and Lee (eds.), Primate Ecology and Conservation",1
"10","Anthropol. Pap. Amer. Mus. Nat. Hist.",1
"11","Asian Primates",1
"12","Bol. Mus. Nac., Rio de Janeiro, n.s.",1
"13","Bol. Mus. Para. Emilio Goeldi, ser. Zool.",1
"14","Fieldiana Zool., n.s.",1
"15","Fieldiana Zool., n.s.,",1
"16","Fieldiana Zool.,<i> </i>NS",1
"17","Fundaçao Brasileira Conservaçao Natu. Bol. Inform.",1
"18","IX Cong. Latinoamer. Zool. [abstracts], Arequipa, Peru",1
"19","J. Zool. Lond.",1
"20","Living New World Monkeys",1
"21","Papeis Avulsos de Zoologia, São Paulo",1
"22","Primate Eye",1
"23","Raffles Bulletin of Zoology",1
"24","Rev. Bras. Zool.",1
"25","The Kingdon Field Guide to African Mammals",1
"26","Zool. Garten, NF",1
