"","CitationName","n"
"1","Am. Mus. Novit.",22
"2","J. Mammal.",19
"3","Bull. Am. Mus. Nat. Hist.",15
"4","Bonn. Zool. Beitr.",12
"5","Proc. Biol. Soc. Wash.",11
"6","Rec. West. Aust. Mus.",11
"7","Bull. Inst. Roy. Sci. Nat. Belgique, Biol.",9
"8","Zool. Zh.",9
"9","Fieldiana Zool., N.S.",7
"10","Mammalia",7
"11","Z. Säugetierk.",7
"12","Rec. Aust. Mus.",5
"13","Adaptive Radiation of Blind Subterranean Mole Rats",4
"14","Occas. Pap. Mus. Zool., Univ. Michigan",4
"15","Z. Saugetierk.",4
"16","Fieldiana Zool.",3
"17","Hist. Nat. (Argentina)",3
"18","Occas. Pap. Sam Noble Oklahoma Mus. Nat. Hist.",3
"19","Rev. Zool. Afr.",3
"20","Arq. Mus. Nac., Rio de Janeiro",2
"21","Aust. Mamm.",2
"22","Bonn. zool. Beitr.",2
"23","Bull. Am. Mus. Hist.",2
"24","Bull. Am. Nat. Hist.",2
"25","Family Muridae: rats and mice [Privately printed by Government Printing Office, Bangkok]",2
"26","Fieldiana Zool., N. S.",2
"27","J. Nat. Hist.",2
"28","J. Zool. Lond.",2
"29","Mamm. Biol.",2
"30","Misc. Publ. Mus. Zool., Univ. Michigan",2
"31","Occas. Papers, Mus. Texas Tech Univ.",2
"32","Poeyana",2
"33","Proc. Linn. Soc. N.S.W.",2
"34","Publ. Zool., Univ. Cal. Press",2
"35","Stuttg. Beitr. Naturk., A",2
"36","(in Malygin et al., 1994) Zool. Zhur.",1
"37","<i>In</i> Eisenberg, Advances in Neotropical Mammalogy",1
"38","<i>In</i> Lavrenchenko et al., 1998a, Z. Säugetierk.",1
"39","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Mus. Alex. Koenig, Bonn",1
"40","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the tropics, Museum Alexander Koenig, Bonn",1
"41","<i>in</i> Taylor et al., Bull. Am. Mus. Nat. Hist.",1
"42","<i>In</i> Taylor et al., Bull. Am. Mus. Nat. Hist.",1
"43","2<sup>nd</sup> Congreso Argentino de Zoonosis y 1<sup>st</sup> Congreso Argentino y Latinamericano de Enfermedades Emergentes, Buenos Aires",1
"44","Acta Theriol.",1
"45","Acta Theriol. Sinica",1
"46","Acta Theriologica Sinica",1
"47","Amer. Mus. Novit.",1
"48","Ann. Cape Prov. Mus. Nat. Hist.",1
"49","Ann. Carnegie Mus.",1
"50","Ann. Mus. R. Afr. C.",1
"51","Ann. Nat. Hist. Mus. Wien",1
"52","Aust. J. Zool.",1
"53","Aust. Mammal.",1
"54","Biotemas",1
"55","Bol. Inst. Estud. Almerienses",1
"56","Bol. Mus. Biol. Prof. Mello-Leitao Zool.",1
"57","Bol. Mus. Nac. Rio Janeiro Zool.",1
"58","Bol. Mus. Nac., Zool.",1
"59","Bonn Zool. Beitr.",1
"60","Bonn. Zool. Bieträge",1
"61","Bull. Am. Mus. Nat Hist.",1
"62","Bull. Inst. Roy. Sci. Nat. Belgium (Biologie)",1
"63","Bull. Nat. Hist. Mus. Lond.",1
"64","Bull. Nat. Hist. Res. Centre",1
"65","Bull. Zool. Surv. India",1
"66","C. R. Acad. Sci. Paris, ser. D",1
"67","Carib. J. Sci.",1
"68","Caribbean J. Sci.",1
"69","Ciencia Siglo XXI",1
"70","Cimbebasia, Ser. A",1
"71","Com. Jour. Cienc. Nat. Montevideo (Uruguay)",1
"72","Comun. Zool. Mus. Hist. Nat. Montevideo",1
"73","Fieldiana Zool. n.s.",1
"74","Fieldiana Zool., ns",1
"75","Gryzuny Severnovo Kavkaza.",1
"76","Hist. Nat.",1
"77","Hist. Nat., Corrientes",1
"78","Iheringia",1
"79","J. Zool. London",1
"80","Los Angeles Co. Mus. Nat. Hist., Sci. Ser.",1
"81","Los Angeles Co. Nat. Hist. Mus., Contr. Sci.",1
"82","Mammal. Biol.",1
"83","Mem. Queensland Mus.",1
"84","Nat. Geog. Res. Explor.",1
"85","Notulas Faunisticas",1
"86","Occas. Pap. Mus. Nat. Hist., Univ. Kansas",1
"87","Occas. Pap. Mus. Texas Tech Univ.",1
"88","Palaeovertebrata",1
"89","Physis, sec. C.",1
"90","Physis. Sec. C.",1
"91","Proc. Bio. Soc. Wash.",1
"92","Proc. Fauna SR Serbia, Serbian Acad. Sci. and Arts, Belgrade",1
"93","Publ. Mus. Hist. Nat., Ser. A Zool., Univ. Nac. Mayor de San Marcos",1
"94","Resúmenes VI Congreso Iberoamericano de Conservación v Zoología de Vertebrados",1
"95","Resumenes VII Jornadas Argentinas Zoologia, Mar del Plata",1
"96","Rev. Bras. Zool.",1
"97","Rev. Chilena Hist. Nat.",1
"98","Rev. Nordest. Biol.",1
"99","Revta Bras. Biol.",1
"100","Russian J. Theriol.",1
"101","S. Afr. J. Zool.",1
"102","Southwest. Nat.",1
"103","Stud. Neotrop. Fauna Envir.",1
"104","Stuttg. Beitr. Naturk. ser. A",1
"105","Trans. R. Soc. S. Aust.",1
"106","Vestn. Zool.",1
"107","Zool. J. Linn. Soc.",1
"108","Zool. Jour. Linnean Soc.",1
"109","Zool. Meded. Leiden",1
"110","Zoologica Scripta",1
