"","CitationName","n"
"1","Bonn. Zool. Beitr.",9
"2","Ann. Transvaal Mus.",4
"3","Proc. Biol. Soc. Wash.",4
"4","Z. SSugetierk.",3
"5","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Bonn",2
"6","Experientia",2
"7","J. Mammal.",2
"8","Am. Mus. Novit.",1
"9","Annls Carnegie Mus.",1
"10","Bonn. Zool. Monogr.",1
"11","Bull. Brit. Mus. (Nat. Hist.) Zool.",1
"12","Bull. Brit. Mus. (Nat. Hist). Zool.",1
"13","Bull. Inst. Roy. Sci. Nat. Belg., Biol.",1
"14","Bull. Nat. Hist. Mus. Lond. (Zool.)",1
"15","Bull. Zool. Surv. India",1
"16","Contributions in Mammalogy: A Memorial Volume Honoring Dr. J. Knox Jones, Jr.",1
"17","Ecotropica",1
"18","Fieldiana: Zoology, n.s.",1
"19","Gortania",1
"20","J. Mammal. Soc. Japan",1
"21","J. Nat. Hist.",1
"22","Mammal Study",1
"23","Occas. Pap., Mus. Texas Tech Univ.",1
"24","Oryx",1
"25","Rev. Suisse Zool.",1
"26","SSugetierkdl. Mitt.",1
"27","Z. geol. Wiss., Berlin",1
"28","Zool. Abh. Mus. Tierk. Dresden",1
