"","CitationName","n"
"1","J. Mammal.",32
"2","Am. Mus. Novit.",31
"3","Mammalia",25
"4","Bull. Am. Mus. Nat. Hist.",23
"5","Proc. Biol. Soc. Wash.",23
"6","Bonn. Zool. Beitr.",22
"7","Rec. West. Aust. Mus.",22
"8","Aust. J. Zool.",12
"9","Rec. Aust. Mus.",12
"10","Fieldiana Zool., N.S.",10
"11","Bull. Inst. Roy. Sci. Nat. Belgique, Biol.",9
"12","Rec. W. Aust. Mus.",9
"13","Zool. Zh.",9
"14","Z. Säugetierk.",8
"15","Bull. Brit. Mus. (Nat. Hist.) Zool.",7
"16","Mem. Queensl. Mus.",7
"17","Aust. Mamm.",6
"18","Aust. Mammal.",6
"19","Int. J. Primatol.",6
"20","Occas. Pap. Mus. Texas Tech Univ.",6
"21","Amer. Mus. Novit.",5
"22","Ann. Carnegie Mus.",5
"23","Folia Primatol.",5
"24","Goeldiana Zoologia",5
"25","Adaptive Radiation of Blind Subterranean Mole Rats",4
"26","Ann. Transvaal Mus.",4
"27","Fieldiana Zool.",4
"28","Neotropical Primates",4
"29","Occas. Pap. Mus. Zool., Univ. Michigan",4
"30","Z. Saugetierk.",4
"31","Z. SSugetierk.",4
"32","<i>In</i>Tattersall and Sussman (eds.), Lemur Biology",3
"33","Beaufortia",3
"34","Bonn. zool. Beitr.",3
"35","Bull. Amer. Mus. Nat. Hist.",3
"36","Bull. Nat. Hist. Mus. Lond. (Zool.)",3
"37","Bull. Natl. Sci. Mus. Tokyo, ser. A(Zool.)",3
"38","Bull. Zool. Surv. India",3
"39","Fieldiana Zool. n.s.",3
"40","Hist. Nat. (Argentina)",3
"41","J. Nat. Hist.",3
"42","J. Zool. Lond.",3
"43","Myotis",3
"44","Occas. Pap. Sam Noble Oklahoma Mus. Nat. Hist.",3
"45","Occas. Papers, Mus. Texas Tech Univ.",3
"46","Rev. Zool. Afr.",3
"47","Science in New Guinea",3
"48","Senkenbergiana Biol.",3
"49","Zool. J. Linn. Soc.",3
"50","(in Malygin et al., 1994) Zool. Zhur.",2
"51","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Bonn",2
"52","Acta Theriol. Sinica",2
"53","Actual. Biol.",2
"54","Am. J. Phys. Anthropol.",2
"55","Am. J. Primatol.",2
"56","Anthropol. Pap. Amer. Mus. Nat. Hist.",2
"57","Arq. Mus. Nac., Rio de Janeiro",2
"58","Aust. Zool.",2
"59","Austr. Mamm.",2
"60","Bol. Mus. Biol. Prof. Mello-Leitao Zool.",2
"61","Bull. Am. Mus. Hist.",2
