"","CitationName","n"
"1","J. Mammal.",28
"2","Mammalia",25
"3","Am. Mus. Novit.",24
"4","Rec. West. Aust. Mus.",22
"5","Bonn. Zool. Beitr.",21
"6","Proc. Biol. Soc. Wash.",21
"7","Bull. Am. Mus. Nat. Hist.",15
"8","Rec. Aust. Mus.",12
"9","Aust. J. Zool.",9
"10","Bull. Inst. Roy. Sci. Nat. Belgique, Biol.",9
"11","Rec. W. Aust. Mus.",9
"12","Zool. Zh.",9
"13","Bull. Brit. Mus. (Nat. Hist.) Zool.",7
"14","Fieldiana Zool., N.S.",7
"15","Z. Säugetierk.",7
"16","Aust. Mamm.",6
"17","Aust. Mammal.",6
"18","Int. J. Primatol.",6
"19","Occas. Pap. Mus. Texas Tech Univ.",6
"20","Amer. Mus. Novit.",5
"21","Folia Primatol.",5
"22","Goeldiana Zoologia",5
"23","Adaptive Radiation of Blind Subterranean Mole Rats",4
"24","Ann. Carnegie Mus.",4
"25","Ann. Transvaal Mus.",4
"26","Fieldiana Zool.",4
"27","Neotropical Primates",4
"28","Occas. Pap. Mus. Zool., Univ. Michigan",4
"29","Z. Saugetierk.",4
"30","<i>In</i>Tattersall and Sussman (eds.), Lemur Biology",3
"31","Beaufortia",3
"32","Bonn. zool. Beitr.",3
"33","Bull. Nat. Hist. Mus. Lond. (Zool.)",3
"34","Bull. Natl. Sci. Mus. Tokyo, ser. A(Zool.)",3
"35","Fieldiana Zool. n.s.",3
"36","Hist. Nat. (Argentina)",3
"37","J. Nat. Hist.",3
"38","J. Zool. Lond.",3
"39","Myotis",3
"40","Occas. Pap. Sam Noble Oklahoma Mus. Nat. Hist.",3
"41","Rev. Zool. Afr.",3
"42","Senkenbergiana Biol.",3
"43","Z. SSugetierk.",3
"44","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Bonn",2
"45","Actual. Biol.",2
"46","Am. J. Phys. Anthropol.",2
"47","Am. J. Primatol.",2
"48","Arq. Mus. Nac., Rio de Janeiro",2
"49","Aust. Zool.",2
"50","Austr. Mamm.",2
"51","Bull. Am. Mus. Hist.",2
"52","Bull. Am. Nat. Hist.",2
"53","Bull. Amer. Mus. Nat. Hist.",2
"54","Bull. Br. Mus. Nat. Hist. (Zool.)",2
"55","Bull. Brit. Mus. Nat. Hist. (Zool.)",2
"56","Bull. Zool. Surv. India",2
"57","Experientia",2
"58","Family Muridae: rats and mice [Privately printed by Government Printing Office, Bangkok]",2
"59","Fieldiana Zool., N. S.",2
"60","Fieldiana Zool., n.s.",2
"61","Mamm. Biol.",2
"62","Mammal Study",2
"63","Mem. Qld. Mus.",2
"64","Mem. Queensl. Mus.",2
"65","Misc. Publ. Mus. Zool., Univ. Michigan",2
"66","Occas. Papers, Mus. Texas Tech Univ.",2
"67","Poeyana",2
"68","Proc. Linn. Soc. N.S.W.",2
"69","Publ. Zool., Univ. Cal. Press",2
"70","Rev. Bras. Zool.",2
"71","Rev. Suisse Zool.",2
"72","Senckenberg. Biol.",2
