"","CitationName","n"
"1","",246
"2","J. Mammal.",32
"3","Am. Mus. Novit.",31
"4","Mammalia",25
"5","Rec. West. Aust. Mus.",25
"6","Bull. Am. Mus. Nat. Hist.",23
"7","Proc. Biol. Soc. Wash.",23
"8","Bonn. Zool. Beitr.",22
"9","Rec. Aust. Mus.",13
"10","Aust. J. Zool.",12
"11","Fieldiana Zool., N.S.",10
"12","Bull. Inst. Roy. Sci. Nat. Belgique, Biol.",9
"13","Rec. W. Aust. Mus.",9
"14","Zool. Zh.",9
"15","Z. Säugetierk.",8
"16","Bull. Brit. Mus. (Nat. Hist.) Zool.",7
"17","Mem. Queensl. Mus.",7
"18","Aust. Mamm.",6
"19","Aust. Mammal.",6
"20","Int. J. Primatol.",6
"21","Occas. Pap. Mus. Texas Tech Univ.",6
"22","Amer. Mus. Novit.",5
"23","Ann. Carnegie Mus.",5
"24","Ann. Transvaal Mus.",5
"25","Folia Primatol.",5
"26","Goeldiana Zoologia",5
"27","Adaptive Radiation of Blind Subterranean Mole Rats",4
"28","Beaufortia",4
"29","Fieldiana Zool.",4
"30","Neotropical Primates",4
"31","Occas. Pap. Mus. Zool., Univ. Michigan",4
"32","Z. Saugetierk.",4
"33","Z. SSugetierk.",4
"34","[in Kitchener et al., 1995<i>b</i>]",3
"35","[in Kitchener et al., 1996]",3
"36","<i>In</i>Tattersall and Sussman (eds.), Lemur Biology",3
"37","Bonn. zool. Beitr.",3
"38","Bull. Amer. Mus. Nat. Hist.",3
"39","Bull. Nat. Hist. Mus. Lond. (Zool.)",3
"40","Bull. Natl. Sci. Mus. Tokyo, ser. A(Zool.)",3
"41","Bull. Zool. Surv. India",3
"42","Fieldiana Zool. n.s.",3
"43","Hist. Nat. (Argentina)",3
"44","J. Nat. Hist.",3
"45","J. Zool. Lond.",3
"46","Myotis",3
"47","Occas. Pap. Sam Noble Oklahoma Mus. Nat. Hist.",3
"48","Occas. Papers, Mus. Texas Tech Univ.",3
"49","Rev. Zool. Afr.",3
"50","Science in New Guinea",3
"51","Senkenbergiana Biol.",3
"52","Zool. J. Linn. Soc.",3
"53","(in Malygin et al., 1994) Zool. Zhur.",2
"54","[<i>in</i> Kitchener et al., 1995<i>c</i>]",2
"55","[in Benda and Tsytsulina, 2000]",2
"56","[in Kitchener and Maharadatunkamsi, 1996]",2
"57","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Bonn",2
"58","Acta Theriol. Sinica",2
"59","Actual. Biol.",2
"60","Am. J. Phys. Anthropol.",2
"61","Am. J. Primatol.",2
"62","Anthropol. Pap. Amer. Mus. Nat. Hist.",2
"63","Arq. Mus. Nac., Rio de Janeiro",2
"64","Aust. Zool.",2
"65","Austr. Mamm.",2
"66","Bol. Mus. Biol. Prof. Mello-Leitao Zool.",2
"67","Bull. Am. Mus. Hist.",2
"68","Bull. Am. Nat. Hist.",2
"69","Bull. Br. Mus. Nat. Hist.",2
"70","Bull. Br. Mus. Nat. Hist. (Zool.)",2
"71","Bull. Brit. Mus. (Nat. Hist). Zool.",2
"72","Bull. Brit. Mus. Nat. Hist. (Zool.)",2
"73","Cimbebasia, Ser. A",2
"74","Experientia",2
"75","Family Muridae: rats and mice [Privately printed by Government Printing Office, Bangkok]",2
"76","Fieldiana Zool., N. S.",2
"77","Fieldiana Zool., n.s.",2
"78","Los Angeles Co. Mus. Nat. Hist., Sci. Ser.",2
"79","Los Angeles Cty. Mus. Contrib. Sci.",2
"80","Mamm. Biol.",2
"81","Mammal Study",2
"82","Mem. Qld. Mus.",2
"83","Misc. Publ. Mus. Zool., Univ. Michigan",2
"84","Nature",2
"85","Palaeovertebrata",2
"86","Physis, sec. C.",2
"87","Poeyana",2
"88","Proc. Linn. Soc. N.S.W.",2
"89","Publ. Zool., Univ. Cal. Press",2
"90","Rev. Bras. Zool.",2
"91","Rev. Suisse Zool.",2
"92","Senckenberg. Biol.",2
"93","Senkenberg. Biol.",2
"94","Stuttg. Beitr. Naturk., A",2
"95","Vestn. Zool.",2
"96","Zool. Meded. Leiden",2
"97","Zool. Sci.",2
"98","[in Corbet and Hill (1992)]",1
"99","[in Felten, Spitzenberger, and Storch, 1977]",1
"100","[in Kitchener and Maryanto, 1995]",1
"101","[in Kitchener and Suyanto, 1995]",1
"102","[in Kitchener and Suyanto, 2002]",1
"103","[in Kitchener et al., 1995<i>a</i>]",1
"104","[not Barrett-Hamilton and Hinton, 1913]",1
"105","[replacement name for <i>australis </i>Roberts, 1913]",1
"106","<i>In</i> Eisenberg, Advances in Neotropical Mammalogy",1
"107","<i>In</i> J. F. Eisenberg (ed.), Vertebrate ecology in the northern Neotropics, Smithson. Inst. Press",1
"108","<i>In</i> J. F. Eisenberg (ed.), Vertebrate ecology in the northern Neotropics, Smithson. Inst. Press.",1
"109","<i>In</i> K. H. Redford and J. F. Eisenberg, eds., Advances in Neotropical Mammalogy, The Sandhill Crane Press, Inc.",1
"110","<i>In</i> Kingdon, Kingdon Field Guide to African Mammals",1
"111","<i>In</i> Lavrenchenko et al., 1998a, Z. Säugetierk.",1
"112","<i>In</i> M. Archer, Carnivorous Marsupials",1
"113","<i>In</i> Ma et al., Zool. Res. Kunming",1
"114","<i>In</i> Musser et al., Am. Mus. Novit.",1
"115","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the Tropics, Mus. Alex. Koenig, Bonn",1
"116","<i>In</i> Peters and Hutterer (eds.), Vertebrates in the tropics, Museum Alexander Koenig, Bonn",1
"117","<i>In</i> Seebeck et al. (eds.), Bandicoots and Bilbies",1
"118","<i>in</i> Taylor et al., Bull. Am. Mus. Nat. Hist.",1
"119","<i>In</i> Taylor et al., Bull. Am. Mus. Nat. Hist.",1
"120","<i>In</i>Chau, Vietnam Economic News",1
"121","<i>In</i>Else and Lee (eds.), Primate Ecology and Conservation",1
"122","<i>In</i>Ha, Vietnam Economic News",1
"123","2<sup>nd</sup> Congreso Argentino de Zoonosis y 1<sup>st</sup> Congreso Argentino y Latinamericano de Enfermedades Emergentes, Buenos Aires",1
"124","Acta Chiropterol.",1
"125","Acta Chiropterologica",1
"126","Acta Cient. Venezolana",1
"127","Acta Ther. Sin.",1
"128","Acta Theriol.",1
"129","Acta Theriologica Sinica",1
"130","Acta Zool. Acad. Scient. Hungaricae",1
"131","Acta Zool. Sinica",1
"132","Acta. Chiropt.",1
"133","Anim. Conserv.",1
"134","Ann. Cape Prov. Mus. Nat. Hist.",1
"135","Ann. Mus. R. Afr. C.",1
"136","Ann. Nat. Hist. Mus. Wien",1
"137","Annls Carnegie Mus.",1
"138","Asian Primates",1
"139","Aus. J. Zool.",1
"140","Aust. Mammalogy",1
"141","Australian Zool.",1
"142","Biotemas",1
"143","Bol. Inst. Estud. Almerienses",1
"144","Bol. Mus. Nac. Rio Janeiro Zool.",1
"145","Bol. Mus. Nac., Rio de Janeiro, n.s.",1
"146","Bol. Mus. Nac., Zool.",1
"147","Bol. Mus. Para. Emilio Goeldi, ser. Zool.",1
"148","Bonn Zool. Beitr.",1
"149","Bonn. Zool. Bieträge",1
"150","Bonn. Zool. Monogr.",1
"151","Bull. Acad. R. Belgique, Classe des Sciences, Sér 5.",1
"152","Bull. Am. Mus. Nat Hist.",1
"153","Bull. Inst. Roy. Sci. Nat. Belg., Biol.",1
"154","Bull. Inst. Roy. Sci. Nat. Belgium (Biologie)",1
"155","Bull. Nat. Hist. Mus. Lond.",1
"156","Bull. Nat. Hist. Res. Centre",1
"157","Bull. Nat. Sci. Mus., Tokyo. Ser. A",1
"158","Bull. Natl. Sci. Mus. Tokyo, ser. A (Zool.)",1
"159","Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",1
"160","Byul. Mosk. Ob-va Ispytatelei Prirody. Otd. Biol.",1
"161","C. R. Acad. Sci. Paris",1
"162","C. R. Acad. Sci. Paris, ser. D",1
"163","Caldasia",1
"164","Can. J. Zool",1
"165","Canadian J. Zool.",1
"166","Carib. J. Sci.",1
"167","Caribbean J. Sci.",1
"168","Ciencia e Cultura",1
"169","Ciencia Siglo XXI",1
"170","Com. Jour. Cienc. Nat. Montevideo (Uruguay)",1
"171","Com. Zool. Mus. Hist. Nat. Montevideo",1
"172","Comun. Zool. Mus. Hist. Nat. Montevideo",1
